#,Номер законопроекта,Категория,Тема,Название на сайте ГД,Название,Дата принятия,Время рассмотрения ,Субъект права законодательной инициативы,Форма законопроекта,Ответственный комитет,Комитеты-соисполнители,Отрасль законодательства,Тематический блок законопроектов,Профильный комитет,Предмет ведения,Описание,Польза гражданам,Польза государству
191,635816-7,"Бюджетное, налоговое, финансовое законодательство",Финансы и банковская деятельность,Уведомление о приостановлении денежных переводов,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2019 № 490-ФЗ «О внесении изменения в статью 9 Федерального закона «О национальной платежной системе»,12.12.2019,316,"Депутаты Государственной Думы А.Г.Аксаков, В.И.Афонский, С.А.Вострецов, А.А.Гетта, И.Б.Дивинский, А.Н.Изотов, А.Д.Козенко, Н.В.Поклонская, Д.С.Скриванов, Д.Е.Шилков, Е.Б.Шулепов, В.С.Скруг",Федеральный закон,Комитет Государственной Думы по финансовому рынку,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,Ведение РФ,Установлена обязанность оператора в день приостановления денежного перевода уведомить клиента о факте приостановления и о его причинах.,получать оперативную информацию о приостановлении денежных переводов,улучшить качество работы платежной системы
192,813620-7,"Бюджетное, налоговое, финансовое законодательство",Финансы и банковская деятельность,Отмена «банковского роуминга»,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 16.12.2019 № 434-ФЗ «О внесении изменений в статью 29 Федерального закона «О банках и банковской деятельности»,10.12.2019,56,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по финансовому рынку,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,нет,Отменяется «банковский роуминг» – комиссии банков за денежные переводы между находящимися в разных регионах страны клиентами.,экономить средства при осуществлении денежных переводов в другие регионы; банкам – оптимизировать бизнес-процессы,"устранить дискриминационные практики тарификации, ущемляющие интересы потребителя; обеспечить развитие безналичных платежей"
193,684667-7,"Бюджетное, налоговое, финансовое законодательство",Финансы и банковская деятельность,Пресечение неправомерных действий МФО,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 02.08.2019 № 271-ФЗ «О внесении изменений в отдельные законодательные акты Российской Федерации»,24.07.2019,106,"Депутаты Государственной Думы В.В.Володин, А.Г.Аксаков, В.В.Жириновский, И.И.Мельников; Члены Совета Федерации В.И.Матвиенко, Е.В.Бушмин, С.Н.Рябухин, Н.А.Журавлев",Федеральный закон,Комитет Государственной Думы по финансовому рынку,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,нет,"Закон устанавливает комплекс мер по пресечению неправомерных действий МФО, в т. ч. запрет заключения потребзаймов под залог жилья.",обеспечить сохранность жилья при использовании услуг МФО,ввести действенный механизм защиты граждан от неправомерных действий МФО
194,473002-7,"Бюджетное, налоговое, финансовое законодательство",Финансы и банковская деятельность,Использование национальной платежной инфраструктуры,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 03.07.2019 № 166-ФЗ «О внесении изменений в статью 12 Федерального закона «О национальной платежной системе»,25.06.2019,397,Депутат Государственной Думы В.М.Резник,Федеральный закон,Комитет Государственной Думы по финансовому рынку,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,Ведение РФ,Закон обязует банки и операторов электронных денег использовать национальную платежную инфраструктуру РФ для внутрироссийских транзакций.,обезопасить свои средства от сбоев зарубежных платежных систем,создать безопасную платежную среду
195,577603-7,"Бюджетное, налоговое, финансовое законодательство",Финансы и банковская деятельность,Функционал ВЭБ,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 28.11.2018 № 452-ФЗ «О внесении изменений в Федеральный закон «О банке развития» и отдельные законодательные акты Российской Федерации»,21.11.2018,20,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по финансовому рынку,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,Ведение РФ,"Закон предусматривает закрепление за Внешэкономбанком новой функции по координации и организации деятельности институтов развития (включая группу Внешэкономбанка, АО «РЭЦ», АО «Корпорация МСП», АО «ДОМ.РФ») по вопросам обеспечения долгосрочного социально-экономического развития страны, создания условий для устойчивого экономического роста.","ПАО «ВЭБ.РФ» — осуществлять финансовую и гарантийную поддержку институтов развития, обеспечивать исполнение институтами развития обязательств, в том числе обязательств по выплате страхового возмещения или страховой суммы; институтам развития — действовать эффективно для обеспечения долгосрочного социально-экономического развития страны, создания условий для устойчивого экономического роста",стимулировать социально-экономическое развитие
196,296412-7,"Бюджетное, налоговое, финансовое законодательство",Финансы и банковская деятельность,Противодействие хищению с банковских карт,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.06.2018 № 167-ФЗ «О внесении изменений в отдельные законодательные акты Российской Федерации в части противодействия хищению денежных средств»,05.06.2018,223,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по финансовому рынку,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,Ведение РФ,Закон обязует банки приостанавливать подозрительные денежные переводы и запрашивать подтверждение у клиента.,обезопаситься от включения в операции мошеннических действий,регулировать банковскую сферу; качественно защищать экономические интересы граждан
197,517191-6,"Бюджетное, налоговое, финансовое законодательство",Финансы и банковская деятельность,Финансовый омбудсмен,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 04.06.2018 № 123-ФЗ «Об уполномоченном по правам потребителей финансовых услуг»,24.05.2018,1475,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по финансовому рынку,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,Ведение РФ,Закон предусматривает создание института финансового омбудсмена для защиты прав граждан.,"получать помощь в решении проблем в отношении услуг, оказываемых кредитными организациями, страховыми организациями, обществами взаимного страхования",обеспечить досудебное урегулирование споров между финансовыми организациями и гражданами
198,721012-7,Оборона и безопасность,Обороноспособность,Приостановка ДРСМД,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 03.07.2019 № 156-ФЗ «О приостановлении Российской Федерацией действия Договора между Союзом Советских Социалистических Республик и Соединенными Штатами Америки о ликвидации их ракет средней дальности и меньшей дальности»,18.06.2019,19,Президент Российской Федерации,Федеральный закон,Комитет Государственной Думы по международным делам,"Комитет Государственной Думы по обороне, Комитет Государственной Думы по безопасности и противодействию коррупции",200.000.000 Международные отношения. Международное право,Ратификация международных договоров Российской Федерации,Комитет Государственной Думы по международным делам,нет,"Закон предусматривает приостановку действия договора между СССР и США о ликвидации ракет средней и меньшей дальности (ДРСМД), подписанного в Вашингтоне 08.12.1987, с сохранением за Президентом РФ права возобновить действие договора.",нет,обеспечить национальные интересы и безопасность в сложившихся внешнеполитических условиях
199,421922-7,Оборона и безопасность,Обороноспособность,Электронная карта военнослужащего,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 28.11.2018 № 445-ФЗ «О внесении изменений в статьи 8 и 10 Федерального закона «О воинской обязанности и военной службе»,20.11.2018,244,"Члены Совета Федерации Ф.А.Клинцевич, В.Н.Бондарев, Е.А.Серебренников, А.В.Ракитин, М.И.Дидигов, Б.Б.Жамсуев, А.В.Кондратьев, С.П.Аренин, М.В.Козлов, О.М.Бурико, О.Ф.Ковитиди, В.В.Куликов, Т.Д.Мамсуров, В.М.Мархаев, А.Г.Суворов, В.А.Штыров, В.А.Озеров, О.П.Ткач, А.Г.Шишкин",Федеральный закон,Комитет Государственной Думы по обороне,нет,"150.000.000 Оборона, 150.090.000 Воинская обязанность, 150.090.020 Воинский учет",Оборона и безопасность,Комитет Государственной Думы по обороне,нет,"Закон способствует определенности при осуществлении воинского учета призывников, военнослужащих и граждан, пребывающих в запасе, повышению эффективности системы воинского учета, а также оптимизации процессов, связанных с подготовкой граждан к военной службе, прохождения ими военной службы, пребывания граждан в запасе, проведения мероприятий по мобилизационной подготовке и мобилизации.","получить удобный документ, связанный с воинским учетом",контролировать сферу воинского учета
200,563272-7 ,Оборона и безопасность,Противодействие экстремизму и терроризму,Ответственность за посредничество в незаконном получении документов,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 04.11.2019 № 354-ФЗ «О внесении изменений в статью 322-1 Уголовного кодекса Российской Федерации и статью 151 Уголовно-процессуального кодекса Российской Федерации»,15.10.2019,370,Московская городская Дума,Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,"170.000.000 Уголовное право. Исполнение наказаний, 170.020.000 Особенная часть, 170.020.040 Преступления против государственной власти",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,"В уголовном законодательстве устанавливается новый специальный состав преступления – посредничество в незаконном получении документов, необходимых для въезда, пребывания иностранного гражданина или лица без гражданства на территории РФ, а также транзитного проезда через территорию РФ (максимально – до 3 лет лишения свободы).",жить в еще более безопасной среде,"сократить объёмы незаконной миграции и нарушений, связанных с использованием служебных полномочий для организации незаконной миграции"
201,667479-7,Оборона и безопасность,Противодействие экстремизму и терроризму,Официальное предупреждение,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 16.10.2019 № 337-ФЗ «О внесении изменений в статью 13 Федерального закона «О полиции»,24.09.2019,190,"Депутаты Государственной Думы А.Е.Хинштейн, Г.К.Сафаралиев, С.А.Боженов, Н.Д.Боева, Н.В.Говорин, С.В.Чижов, А.Н.Ищенко, Д.А.Белик, В.И.Синяговский, А.В.Канаев, А.А.Харсиев, А.В.Чернышев, В.В.Суббот, Н.Ю.Петрунин, Г.А.Карлов, А.В.Якубовский, А.Л.Красов, М.С.Гаджиев, А.В.Маграмов, Р.А.Азимов, В.В.Гутенев, Ю.Н.Швыткин, М.В.Гулевский, И.М.Гусева, М.И.Щаблыкин, В.И.Пискарев, Ю.В.Кобзев, А.И.Петров, М.В.Романов, И.В.Сапко, А.А.Максимов, Э.А.Валеев, Д.С.Перминов",Федеральный закон,Комитет Государственной Думы по безопасности и противодействию коррупции,нет,160.020.080 Органы внутренних дел,Оборона и безопасность,Комитет Государственной Думы по безопасности и противодействию коррупции,Ведение РФ,"Полицейские смогут объявлять гражданам официальное предупреждение о недопустимости действий, создающих условия для совершения преступлений.",получать предупреждение о риске правонарушения или недопустимого поведения перед самим наказанием,"расширмить профилактические меры в арсенале полицейских, способствовать гуманизации российского правосудия"
202,645492-7,Оборона и безопасность,Противодействие экстремизму и терроризму,Борьба с лидерами ОПГ,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 01.04.2019 № 46-ФЗ «О внесении изменений в Уголовный кодекс Российской Федерации и Уголовно-процессуальный кодекс Российской Федерации в части противодействия организованной преступности»,14.03.2019,28,Президент Российской Федерации,Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,"170.000.000 Уголовное право. Исполнение наказаний, 170.020.000 Особенная часть, 170.020.030 Преступления против общественной безопасности и общественного порядка",Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,Закон устанавливает уголовную ответственность за занятие высшего положения в преступной иерархии (лишение свободы на 8–15 лет).,нет,"усилить эффективность уголовно-правовых мер в отношении лиц, занимающих высокие роли в преступной иерархии, пресекать деятельность преступных группировок"
203,558345-7,Оборона и безопасность,Противодействие экстремизму и терроризму,Исключение наказания за репосты,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 519-ФЗ «О внесении изменения в статью 282 Уголовного кодекса Российской Федерации»; ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2018 № 521-ФЗ «О внесении изменений в Кодекс Российской Федерации об административных правонарушениях»,19.12.2018,77,Президент Российской Федерации,Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи","170.000.000 Уголовное право. Исполнение наказаний, 170.020.000 Особенная часть, 170.020.030 Преступления против общественной безопасности и общественного порядка",Государственное строительство и конституционные права граждан,"Комитет Государственной Думы по государственному строительству и законодательству, Комитет Государственной Думы по информационной политике, информационным технологиям и связи",Ведение РФ,"Закон предусматривает смягчение ответственности за экстремизм для исключения необоснованных случаев привлечения к уголовной ответственности, в том числе – за репосты в социальных сетях.",реализовать право на свободу слова,"исключить необоснованные случаи привлечения к уголовной ответственности за экстремизм; не привлекать к уголовной ответственности за такие деяния, совершенные однократно и не представляющие серьезной угрозы для основ конституционного строя и безопасности государства; гуманизировать уголовное законодательство в этой части"
204,286371-7,Оборона и безопасность,Противодействие экстремизму и терроризму,Ответственность за фиктивную регистрацию мигрантов в нежилых помещениях,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 12.11.2018 № 420-ФЗ «О внесении изменений в статью 322-3 Уголовного кодекса Российской Федерации»,25.10.2018,374,"Депутаты Государственной Думы И.А.Яровая, В.Б.Кидяев, Ю.В.Кобзев, В.Н.Карамышев, Н.В.Говорин, Н.Д.Боева, И.Е.Марьяш, А.И.Петров, И.В.Лебедев, Р.В.Кармазина, В.В.Бурматов, Т.И.Фролова, М.С.Шеремет, А.Г.Кобилев, З.Я.Рахматуллина, Е.В.Строкова, А.А.Гетта, В.В.Иванов, Г.И.Данчикова, Н.Н.Пилюс, В.А.Елыкомов, А.В.Чернышев, Д.Ю.Пирог, Д.А.Белик, П.И.Пимашков, А.В.Скоч, Р.М.Марданшин, Д.В.Ламейкин, З.А.Аскендеров, Ю.Н.Швыткин, Л.Н.Тутова, В.А.Шаманов, И.М.Тетерин, Ю.Н.Березуцкий, А.Н.Ткачев, В.Н.Плотников, В.И.Катенев, А.В.Канаев, Р.Б.Букачаков, З.З.Байгускаров, И.Х.Зиннуров, М.В.Романов, В.В.Бузилов, А.В.Жарков",Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по делам национальностей,170.000.000 Уголовное право. Исполнение наказаний,Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Ведение РФ,Закон распространяет уголовную ответственность на фиктивную постановку на учет мигрантов в нежилых помещениях.,нет,усилить контроль за организацией приема и постановкой на учет иностранных трудовых мигрантов на территории РФ
205,286369-7,Оборона и безопасность,Противодействие экстремизму и терроризму,Борьба с «резиновыми» офисами,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 11.10.2018 № 366-ФЗ «О внесении изменений в статьи 2 и 23 Федерального закона «О миграционном учете иностранных граждан и лиц без гражданства в Российской Федерации»,27.09.2018,346,"Депутаты Государственной Думы И.А.Яровая, В.Б.Кидяев, Д.В.Саблин, Ю.В.Кобзев, В.Н.Карамышев, Н.В.Говорин, Н.Д.Боева, И.Е.Марьяш, Р.В.Кармазина, Т.И.Фролова, Л.Н.Тутова, М.С.Шеремет, Н.Н.Пилюс, А.А.Гетта, В.А.Елыкомов, З.Я.Рахматуллина, А.Г.Кобилев, Г.И.Данчикова, В.В.Бурматов, Ю.Н.Березуцкий, А.В.Чернышев, Д.Ю.Пирог, В.В.Иванов, Д.А.Белик, Д.В.Ламейкин, Р.М.Марданшин, А.В.Скоч, П.И.Пимашков, А.И.Петров, З.А.Аскендеров, Ю.Н.Швыткин, И.М.Тетерин, В.А.Шаманов, А.Н.Ткачев, В.М.Новиков, В.Н.Плотников, А.В.Канаев, В.П.Водолацкий, А.В.Ильтяков, И.Х.Зиннуров, М.В.Романов, В.В.Бузилов",Федеральный закон,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",Комитет Государственной Думы по жилищной политике и жилищно-коммунальному хозяйству,010.000.000 Конституционный строй,Государственное строительство и конституционные права граждан,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",Совместное ведение,"Законом введены меры борьбы с «резиновыми» офисами — закреплено, что фиктивная постановка на учет может осуществляться не только в жилом, но и в нежилом помещении.",обеспечить надлежащий порядок регистрации иностранных мигрантов по месту пребывания,"пресечь нелегальные схемы оформления мигрантов, сократить риски совершения актов терроризма и других преступлений"
206,73983-5,Оборона и безопасность,Противодействие экстремизму и терроризму,Зачет срока в СИЗО,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 03.07.2018 № 186-ФЗ «О внесении изменений в статью 72 Уголовного кодекса Российской Федерации»,21.06.2018,3653,"Депутаты Государственной Думы П.В.Крашенинников, Т.Н.Москалькова, А.Д.Куликов, А.Е.Хинштейн, Р.М.Марданшин, Н.А.Шайденко, Е.Л.Николаева",Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,170.000.000 Уголовное право. Исполнение наказаний,Государственное строительство и конституционные права граждан,"Комитет Государственной Думы по гражданскому, уголовному, арбитражному и процессуальному законодательству",Ведение РФ,"Закон предусматривает изменение порядка зачета сроков содержания в СИЗО — введено правило сокращения срока отбывания наказания в 1,5–2 раза в случае более жёстких условий содержания в СИЗО.","гражданам, обвиняемым и подозреваемым в совершении преступлений — находиться в гуманных условиях содержания","компенсировать издержки, возникающие в результате отсутствия в настоящее время возможности для приведения в полном объеме условий содержания под стражей подозреваемых и обвиняемых в совершении преступлений в соответствие с международными стандартами"
207,322801-7,Оборона и безопасность,Противодействие экстремизму и терроризму,Борьба с «телефонным терроризмом»,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 31.12.2017 № 501-ФЗ «О внесении изменений в статьи 205 и 207 Уголовного кодекса Российской Федерации и статью 151 Уголовно-процессуального кодекса Российской Федерации»,20.12.2017,27,"Депутаты Государственной Думы В.В.Володин, П.В.Крашенинников, В.И.Пискарев; Члены Совета Федерации А.А.Клишас, В.М.Джабаров",Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,нет,нет,Комитет Государственной Думы по государственному строительству и законодательству,нет,"Закон предусматривает усиление уголовной ответственности за «телефонный терроризм» — ложное сообщение об акте терроризма с массовой эвакуацией людей, которое может повлечь до 8 лет лишения свободы, а такое деяние, повлекшее смерть или другие тяжкие последствия – до 10 лет.",сократить потери времени и материальных ресурсов на эвакуацию людей по ложным сообщениям о готовящихся терактах,применять меры уголовной ответственности за заведомо ложное сообщение об акте терроризма
208,230595-7,Оборона и безопасность,Противодействие экстремизму и терроризму,Борьба с терроризмом,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 29.12.2017 № 445-ФЗ «О внесении изменений в Уголовный кодекс Российской Федерации в целях совершенствования мер противодействия терроризму»,14.12.2017,147,"Депутаты Государственной Думы А.Л.Шхагошев, В.И.Пискарев, Н.Д.Ковалев, М.С.Селимханов, А.Л.Красов, Э.А.Валеев, В.А.Шаманов, А.Г.Альшевских, А.Ф.Лавриненко, С.В.Бессараб, А.В.Горелкин, Б.М.Гладких, Н.В.Панков, М.В.Романов, Е.А.Ямпольская, Н.Ю.Петрунин, Д.В.Ламейкин, А.К.Луговой, Н.В.Говорин, Ю.Н.Швыткин, Г.К.Сафаралиев, А.П.Марков, Е.В.Ревенко, А.В.Маграмов, В.И.Синяговский, Т.И.Фролова, И.В.Станкевич, Н.Н.Пилюс, Н.Д.Боева, В.В.Кабанова, П.И.Пимашков, М.С.Гаджиев, М.С.Шеремет, А.А.Гетта, А.И.Аршинова, В.П.Водолацкий, М.Т.Гаджиев, А.В.Каминский, У.М.Умаханов",Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,нет,170.020.000 Особенная часть,Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,"Ведение РФ, вопрос ведения: Ведение Верховного Суда РФ","Закон предусматривает усиление уголовной ответственности за финансирование терроризма, а также за склонение, вербовку или иное вовлечение лица.",получить более высокую безопасность путем уменьшения количества и пожизненной изоляции завербованных террористов,"государству и судебным органам — квалифицировать организацию совершения хотя бы одного из преступлений террористического характера, а также подготовку, склонение, вербовку и (или) иное вовлечение лица в совершение хотя бы одного из указанных преступлений и (или) руководство его совершением, а равно финансирование и (или) организацию финансирования терроризма по части 4 статьи 2051 Уголовного кодекса, которая предусматривает максимальное наказание в виде пожизненного лишения свободы"
209,49153-6,Оборона и безопасность,Противодействие экстремизму и терроризму,Борьба с авиадебоширами,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 05.12.2017 № 376-ФЗ «О внесении изменений в Воздушный кодекс Российской Федерации»,17.11.2017,1838,"Депутаты Государственной Думы Я.Е.Нилов, А.Н.Свинцов, А.С.Старовойтов, Р.С.Ильясов, А.А.Андреев",Федеральный закон,Комитет Государственной Думы по транспорту и строительству,нет,090.000.000 Хозяйственная деятельность,Экономическая политика,Комитет Государственной Думы по транспорту,Ведение РФ,"Закон предусматривает право перевозчика в одностороннем порядке расторгнуть договор воздушной перевозки пассажира, допустившего за последние пять лет нарушение правил поведения на борту воздушного судна, создающее угрозу безопасности полета воздушного судна либо угрозу жизни или здоровью других лиц, а также невыполнение распоряжений командира воздушного судна.","пользоваться авиационным транспортом в безопасных условиях; авиакомпаниям — формировать и публиковать на своих сайтах так называемые «черные списки» пассажиров, которым они отказывают в заключении договора воздушной перевозки",обеспечить безопасность воздушных перевозок
210,118634-7,Оборона и безопасность,Противодействие экстремизму и терроризму,Борьба с детскими суицидами,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 07.06.2017 № 120-ФЗ «О внесении изменений в Уголовный кодекс Российской Федерации и статью 151 Уголовно-процессуального кодекса Российской Федерации в части установления дополнительных механизмов противодействия деятельности, направленной на побуждение детей к суицидальному поведению»",25.05.2017,77,"Депутаты Государственной Думы И.А.Яровая, О.В.Окунева, В.П.Водолацкий, М.И.Щаблыкин, Л.Н.Тутова, П.О.Толстой, Т.В.Плетнева, М.В.Сураев, Д.С.Перминов, Н.В.Говорин, С.М.Боярский, Ю.В.Кобзев, З.Г.Макиев, А.Г.Кобилев, А.Н.Ткачев, О.Н.Епифанова, М.С.Селимханов, Е.Г.Драпеко, И.Х.Зиннуров, Р.К.Хуснулин, З.А.Аскендеров, Л.А.Огуль, И.А.Юмашева, А.Н.Хайруллин, Г.К.Сафаралиев, О.М.Казакова, А.И.Аршинова, О.Ю.Баталина, В.В.Бурматов, А.Г.Аксаков, И.В.Белых, А.И.Петров, А.В.Чернышев, Е.А.Митина, Т.В.Касаева, Р.В.Кармазина, Л.Н.Духанина, И.К.Роднина, Ю.Н.Березуцкий, И.А.Ананских, М.М.Бариев, С.С.Журова, И.В.Лебедев, Т.В.Сапрыкина, Н.Д.Боева, И.Е.Марьяш, Е.В.Бондаренко, В.М.Кононов, В.М.Миронова, Н.Б.Колесникова, А.Г.Литовченко, Н.С.Кувшинова, М.В.Романов, А.С.Прокопьев, В.В.Иванов, А.Б.Клыканов, Р.М.Марданшин, Е.Е.Марченко, Р.Р.Ишсарин, И.М.Тетерин, И.И.Гильмутдинов, Е.А.Вторыгина, В.И.Катенев, В.Н.Карамышев, Т.И.Фролова, А.Б.Выборный, В.В.Бузилов, А.Е.Загребин, А.Н.Ищенко, А.Г.Когогина, Е.В.Косяненко, Н.П.Николаев, Д.А.Белик, И.М.Гусева, Б.М.Гладких, А.А.Харсиев, С.Н.Коткин, А.Л.Сидоров; Члены Совета Федерации Е.В.Бибикова, И.А.Гехт, О.М.Бурико, Н.Н.Болтенко, А.В.Беляков, О.Ф.Ковитиди",Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,"Комитет Государственной Думы по охране здоровья, Комитет Государственной Думы по вопросам семьи, женщин и детей",170.020.010 Преступления против личности,Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,"Ведение РФ, вопрос ведения: Ведение Верховного Суда РФ","Закон предусматривает установление уголовной ответственности за склонение к самоубийству с помощью обмана, уговоров и подкупа, а также за содействие детскому суициду. Введена уголовная ответственность для администраторов так называемых «групп смерти» и организаторов любых неформальных сообществ, деятельность которых сопряжена с побуждением, прежде всего детей, к совершению самоубийства.","реализовать право на безопасность жизни и здоровья несовершеннолетних, создание мер, способствующих предотвращению самоубийств среди детей и борьбы с различными формами содействия суицидам, а также вовлечения несовершеннолетних в совершение противоправных действий, заведомо для виновного представляющих опасность для их жизни","применять новую статью УК РФ 110.1, предусматривающую ответственность за склонение к совершению самоубийства и содействие совершению самоубийства, пресекать вовлечение в группы смерти несовершеннолетних и их распространение"
